Ref,Val,Package,PosX,PosY,Rot,Side
"D1","RED","D_0805_2012Metric",-12.625000,-1.900000,180.000000,bottom
"D2","RED","D_0805_2012Metric",-38.200000,-1.900000,180.000000,bottom
"D3","RED","D_0805_2012Metric",-25.520000,-1.900000,180.000000,bottom
"D4","RED","D_0805_2012Metric",-51.170000,-1.900000,180.000000,bottom
"D5","RED","D_0805_2012Metric",-12.687500,-42.250000,0.000000,bottom
"D6","RED","D_0805_2012Metric",-25.540000,-42.200000,0.000000,bottom
"D7","RED","D_0805_2012Metric",-38.240000,-42.200000,0.000000,bottom
"D8","RED","D_0805_2012Metric",-51.200000,-42.200000,0.000000,bottom
"FID103","Fiducial","Fiducial_1mm_Mask2mm",-8.550000,-42.600000,180.000000,bottom
"FID104","Fiducial","Fiducial_1mm_Mask2mm",-82.000000,-2.000000,180.000000,bottom
"U1","MCP23017_SS","SSOP-28_5.3x10.2mm_P0.65mm",-5.000000,-35.800000,180.000000,bottom
"U4","74HC238","SOIC-16_3.9x9.9mm_P1.27mm",-8.770000,-22.100000,0.000000,bottom
"U5","74HC151","SOIC-16_3.9x9.9mm_P1.27mm",-52.920000,-22.100000,180.000000,bottom
