Designator,Mid X,Mid Y,Layer,Rotation
C101,5.685,-34.7425,top,180.0
C102,49.05,-17.95,top,-90.0
C103,13.4,-25.05,top,90.0
C104,81.1,-44.95,top,-90.0
D1,-12.625,-1.9,bottom,180.0
D2,-38.2,-1.9,bottom,180.0
D3,-25.52,-1.9,bottom,180.0
D4,-51.17,-1.9,bottom,180.0
D5,-12.6875,-42.25,bottom,0.0
D6,-25.54,-42.2,bottom,0.0
D7,-38.24,-42.2,bottom,0.0
D8,-51.2,-42.2,bottom,0.0
Q1,16.82,-18.99,top,90.0
Q2,42.42,-18.99,top,90.0
Q5,29.62,-18.99,top,90.0
Q6,55.22,-18.99,top,90.0
Q9,16.9,-41.97,top,90.0
Q10,29.64,-41.97,top,90.0
Q13,42.44,-41.97,top,90.0
Q14,55.24,-41.97,top,90.0
Q3,18.75,-14.55,top,-270.0
Q4,44.35,-14.55,top,-270.0
Q7,31.55,-14.55,top,-270.0
Q8,57.15,-14.55,top,-270.0
Q11,18.9,-37.55,top,-270.0
Q12,31.6,-37.55,top,-270.0
Q15,44.4,-37.55,top,-270.0
Q16,57.2,-37.55,top,-270.0
R1,21.5,-17.95,top,90.0
R2,47.1,-17.95,top,90.0
R5,12.65,-1.9,top,180.0
R6,38.2,-1.9,top,180.0
R7,5.6725,-40.58,top,180.0
R8,34.35,-17.95,top,90.0
R9,59.9,-17.95,top,90.0
R10,25.55,-1.9,top,180.0
R11,51.1625,-1.9,top,180.0
R12,21.6,-40.95,top,90.0
R13,34.3,-40.95,top,90.0
R14,78.69,-44.95,top,90.0
R15,76.165,-44.95,top,90.0
R16,73.64,-44.95,top,90.0
R17,83.05,-44.95,top,90.0
R18,68.04,-49.84,top,180.0
R19,71.41,-49.84,top,0.0
R20,21.6,-37.55,top,-90.0
R21,34.35,-37.55,top,-90.0
R22,78.13,-49.84,top,0.0
R23,74.77,-49.84,top,0.0
R24,47.1,-40.95,top,90.0
R25,59.9,-40.95,top,90.0
R26,47.1,-37.55,top,-90.0
R27,59.9,-37.55,top,-90.0
R28,2.3,-40.58,top,180.0
R3,5.685,-38.6425,top,0.0
R4,5.6725,-36.7175,top,0.0
U2,76.88,-39.46,top,-180.0
U4,-8.77,-22.1,bottom,0.0
U5,-52.92,-22.1,bottom,180.0
